0.01	-0.01	0.99
0.00	-0.01	1.00
0.01	-0.01	1.00
0.01	-0.00	1.00
0.01	-0.01	1.00
0.00	-0.01	1.00
0.01	-0.01	1.00
0.00	-0.01	0.99
-0.00	0.00	1.00
0.00	-0.02	1.00
0.00	-0.02	1.00
0.00	-0.01	0.99
0.00	-0.01	1.00
0.01	-0.00	1.00
0.00	-0.01	1.00
0.00	-0.02	0.99
0.00	0.00	1.00
0.01	-0.00	1.00
0.01	-0.01	1.00
0.00	-0.01	0.99
0.00	-0.01	1.00
0.00	-0.01	1.00
0.00	-0.01	0.99
0.00	-0.01	1.00
0.00	-0.01	1.00
-0.00	0.00	1.00
0.00	-0.01	0.99
0.01	-0.02	0.99
0.01	-0.00	1.00
0.00	-0.00	1.00
0.00	-0.01	0.99
0.00	-0.01	1.00
0.00	-0.01	1.00
0.00	-0.01	0.99
0.00	-0.02	1.00
0.00	-0.01	0.99
0.00	-0.01	1.00
0.00	-0.01	1.00
0.00	-0.01	1.00
0.01	-0.00	1.00
0.01	-0.00	1.00
0.00	-0.00	1.00
0.00	-0.02	1.00
0.00	-0.01	0.99
0.00	-0.01	0.99
0.00	0.00	1.00
0.00	-0.01	0.99
0.00	-0.01	0.99
0.00	-0.01	0.99
0.01	-0.00	1.00
0.00	-0.00	1.00
0.01	-0.02	0.99
0.00	-0.02	1.00
0.00	-0.01	1.00
0.00	-0.01	0.99
0.00	-0.01	1.00
0.00	-0.01	0.99
0.00	-0.02	0.99
-0.00	-0.01	0.99
0.00	-0.01	1.00
0.00	-0.01	1.00
0.00	-0.01	1.00
0.01	-0.01	1.00
0.01	-0.02	1.00
0.00	-0.01	1.00
-0.00	-0.01	0.99
0.00	-0.01	0.99
0.00	-0.01	1.00
0.00	-0.01	1.00
0.00	-0.02	0.99
0.00	-0.02	0.99
0.00	-0.00	1.00
0.00	0.00	1.00
0.00	-0.01	0.99
0.00	-0.01	0.99
0.00	-0.01	1.00
0.00	-0.01	1.00
0.00	-0.01	1.00
0.00	-0.01	1.00
0.00	-0.01	1.00
0.00	-0.00	1.00
0.00	-0.01	1.00
0.01	-0.02	1.00
0.00	-0.01	1.00
0.00	-0.02	1.00
0.00	-0.01	0.99
0.00	-0.01	1.00
0.00	-0.01	1.00
0.01	-0.02	1.00
0.00	-0.02	0.99
0.00	-0.01	1.00
0.01	-0.01	1.00
0.01	-0.02	1.00
0.01	-0.02	1.00
0.00	-0.02	1.00
0.00	-0.01	1.00
0.01	-0.02	1.00
0.00	-0.01	1.00
0.00	-0.01	1.00
0.01	-0.00	1.00
0.00	-0.01	1.00
0.01	-0.01	1.00
0.01	-0.01	1.01
0.01	-0.00	1.01
0.02	-0.01	1.01
0.02	0.00	1.00
0.02	-0.00	1.01
0.01	-0.02	1.04
-0.00	-0.02	1.01
-0.00	-0.02	0.98
-0.01	-0.02	0.96
-0.01	-0.03	0.97
0.00	-0.02	0.99
0.02	0.00	1.00
0.02	0.00	1.01
0.02	0.00	1.02
0.02	0.01	1.02
0.01	0.00	1.01
0.01	-0.01	1.02
0.00	-0.02	1.00
0.00	-0.02	1.00
0.01	-0.02	0.99
0.01	-0.02	0.99
0.00	-0.01	1.00
0.00	-0.01	1.00
0.01	-0.01	1.00
0.00	-0.01	1.00
0.01	-0.01	1.00
0.00	-0.01	1.00
0.01	-0.01	1.01
0.01	-0.01	1.00
0.00	-0.01	1.00
0.01	-0.02	1.00
0.01	-0.01	1.00
0.00	-0.01	1.00
0.01	-0.01	1.00
0.01	-0.01	1.00
0.01	-0.01	1.01
0.01	-0.01	1.01
0.01	-0.01	1.00
0.02	-0.01	1.00
0.01	-0.01	1.00
0.01	-0.01	1.00
0.01	-0.01	1.00
0.02	-0.01	1.00
0.00	-0.01	1.01
0.01	-0.01	1.00
0.01	-0.02	0.99
0.01	-0.01	1.00
0.00	-0.01	1.00
0.01	-0.02	1.00
0.01	-0.01	1.00
0.01	-0.01	1.01
0.01	-0.01	1.01
0.02	-0.02	1.00
0.01	-0.00	1.01
0.01	0.00	1.01
0.01	-0.01	1.00
0.01	-0.01	1.00
0.01	-0.02	1.00
0.01	-0.02	1.01
0.00	-0.01	1.00
0.01	-0.02	1.01
0.01	-0.01	1.01
0.01	-0.01	1.01
0.01	-0.01	1.01
0.01	-0.01	1.01
0.01	-0.00	1.02
0.01	-0.01	1.00
0.01	-0.01	1.00
0.01	-0.01	0.99
0.00	-0.00	1.01
0.01	-0.00	1.01
0.01	-0.01	1.00
0.00	-0.01	1.01
0.00	-0.01	1.00
0.00	-0.02	1.00
0.00	-0.01	1.00
0.01	-0.01	1.00
0.01	-0.01	1.01
0.01	-0.01	1.00
0.00	-0.01	1.00
0.00	-0.01	1.00
0.01	-0.00	1.00
0.01	-0.01	1.00
0.01	-0.01	1.00
0.01	-0.00	1.01
0.01	-0.01	1.01
0.02	-0.01	1.01
0.01	-0.01	1.00
0.00	-0.02	0.99
0.01	-0.01	1.00
0.00	-0.01	1.00
0.01	-0.01	1.00
0.01	-0.01	1.00
0.01	-0.01	1.00
0.01	-0.01	1.00
0.00	-0.01	1.01
0.00	-0.01	1.01
0.00	-0.01	1.00
0.01	-0.02	1.01
0.01	-0.01	1.00
0.01	-0.01	1.00
0.01	-0.01	1.00
0.01	0.00	1.01
0.01	-0.00	1.00
0.01	-0.02	1.01
0.01	-0.01	1.02
0.00	-0.01	1.01
0.00	-0.01	1.00
0.00	-0.02	0.99
0.00	-0.01	1.00
0.02	-0.00	1.00
0.03	0.00	1.00
0.04	-0.01	1.02
0.02	0.01	1.02
0.01	0.00	1.02
0.00	-0.02	1.01
-0.01	-0.03	0.99
-0.02	-0.03	0.98
-0.00	-0.03	0.99
0.01	-0.02	0.99
0.02	-0.02	1.01
0.02	-0.01	1.01
0.03	0.00	1.02
0.02	0.00	1.02
0.01	0.00	1.01
0.00	-0.00	1.01
0.01	-0.01	1.00
0.00	-0.02	1.00
0.01	-0.02	1.00
0.01	-0.02	1.00
0.01	-0.02	0.99
0.01	-0.01	1.00
0.01	-0.00	1.02
0.01	-0.01	1.01
0.01	-0.01	1.00
0.00	-0.01	1.00
0.00	-0.01	1.00
0.01	-0.02	0.99
0.01	-0.02	1.01
0.01	-0.02	1.01
0.01	-0.01	1.00
0.01	-0.01	1.00
0.01	-0.02	1.01
0.00	-0.01	1.00
0.00	-0.01	1.00
0.01	-0.01	1.00
0.02	-0.01	1.00
0.01	-0.01	1.01
0.02	-0.01	1.01
0.02	-0.01	1.01
0.01	-0.01	1.00
0.01	-0.00	1.00
0.02	-0.01	1.00
0.02	-0.01	1.01
0.01	-0.01	1.02
0.01	-0.01	1.00
-0.00	-0.02	1.01
0.00	-0.01	0.99
0.01	-0.01	0.99
0.01	-0.02	1.00
0.01	-0.02	1.01
0.00	-0.01	1.00
0.01	-0.02	0.99
0.01	-0.00	1.00
0.01	-0.00	1.01
0.01	-0.01	1.01
0.02	-0.02	1.01
0.02	0.00	1.02
0.02	-0.00	1.00
0.01	-0.01	1.00
0.01	-0.02	1.01
0.00	-0.02	1.01
0.00	-0.01	0.99
0.01	-0.02	0.99
0.01	-0.02	1.00
0.02	-0.02	1.00
0.01	-0.02	1.00
0.01	-0.02	1.00
0.01	-0.01	1.01
0.01	-0.01	1.00
0.00	-0.01	1.01
0.01	-0.01	1.00
0.01	-0.01	1.01
0.02	-0.01	1.00
0.01	-0.02	1.00
0.01	-0.02	1.01
0.01	-0.02	1.00
0.01	-0.02	1.00
0.01	-0.00	1.00
0.01	-0.01	1.00
0.01	-0.00	1.00
0.01	-0.02	1.00
0.01	-0.01	1.00
0.02	-0.02	1.00
0.01	-0.01	1.01
0.01	-0.01	1.01
0.01	-0.02	1.00
0.01	-0.01	1.01
0.01	-0.01	1.01
0.00	-0.02	1.00
0.00	-0.02	0.99
0.01	-0.02	0.99
0.02	-0.01	0.99
0.01	-0.01	1.01
0.01	-0.02	1.01
0.00	-0.02	1.01
0.00	-0.01	1.00
0.00	-0.00	1.00
0.01	-0.01	1.00
0.01	-0.02	1.00
0.02	-0.00	1.00
0.02	-0.01	1.01
0.01	-0.01	1.00
0.00	-0.02	1.00
0.00	-0.02	1.00
0.00	-0.02	1.00
0.00	-0.02	1.01
0.01	-0.02	1.00
0.01	-0.02	1.00
0.00	-0.01	1.00
0.01	-0.02	1.01
0.01	-0.02	1.02
0.00	-0.01	1.02
0.01	-0.01	1.01
0.01	-0.02	1.00
0.01	-0.02	1.00
0.01	-0.02	1.01
0.01	-0.01	1.00
0.01	-0.01	1.01
0.01	-0.02	1.00
0.01	-0.02	1.00
0.01	-0.01	1.01
0.02	-0.02	1.01
0.02	-0.02	1.01
0.01	-0.02	1.00
0.01	-0.02	1.00
0.01	-0.02	1.00
0.02	-0.02	1.01
0.02	-0.01	1.01
0.02	-0.02	1.01
0.02	-0.02	1.00
0.02	0.00	1.00
0.02	-0.01	1.00
0.01	-0.02	1.00
0.01	-0.02	1.00
0.00	-0.02	1.00
0.00	-0.02	1.00
0.01	-0.02	1.00
0.01	-0.02	1.00
0.01	-0.02	1.01
0.02	-0.02	1.02
0.01	-0.02	1.02
0.01	-0.02	1.01
0.01	-0.01	1.00
0.01	-0.02	1.00
0.01	-0.02	1.00
0.01	-0.02	1.00
0.01	-0.02	1.01
0.02	-0.01	1.01
0.01	-0.01	1.01
0.01	-0.02	1.02
0.02	-0.02	1.01
0.01	-0.02	1.01
0.01	-0.02	1.00
0.01	-0.02	1.00
0.01	-0.01	1.00
0.01	-0.02	1.01
0.02	-0.02	1.01
0.01	-0.02	1.00
0.01	-0.02	1.00
0.01	-0.02	1.00
0.00	-0.02	1.01
0.01	-0.02	1.01
0.02	-0.02	1.00
0.02	-0.02	1.01
0.02	-0.00	1.02
0.01	-0.02	1.01
0.01	-0.02	1.00
0.01	-0.02	1.00
0.01	-0.01	1.00
0.02	-0.02	1.01
0.01	-0.02	1.00
0.00	-0.02	1.00
0.00	-0.02	1.00
0.02	-0.02	1.00
0.02	-0.01	1.02
0.02	-0.01	1.04
0.02	-0.01	1.02
0.01	-0.02	1.00
0.01	-0.01	1.00
0.01	-0.02	1.01
0.02	-0.02	1.01
0.01	-0.02	1.00
0.01	-0.02	1.00
0.01	-0.02	1.01
0.01	-0.02	1.00
0.00	-0.02	1.01
0.01	-0.02	1.01
0.01	-0.02	1.00
0.02	-0.02	1.01
0.01	-0.01	1.02
0.01	-0.01	1.01
0.02	-0.02	1.00
0.02	-0.00	1.02
0.02	-0.01	1.03
0.02	-0.02	1.03
0.01	-0.02	1.00
0.01	-0.02	1.00
0.00	-0.01	1.00
0.00	-0.02	1.00
0.01	-0.02	1.00
0.02	-0.02	1.01
0.02	-0.01	1.02
0.02	-0.02	1.02
0.02	-0.02	1.01
0.02	-0.02	1.01
0.01	-0.01	1.01
0.02	-0.02	1.02
0.02	-0.02	1.01
0.02	-0.02	1.01
0.02	-0.01	1.01
0.02	-0.01	1.02
0.01	-0.02	1.02
0.01	-0.02	1.00
0.01	-0.02	1.00
0.01	-0.02	1.01
0.01	-0.02	1.01
0.01	-0.02	1.00
0.01	-0.02	1.00
0.02	-0.02	1.01
0.01	-0.02	1.00
0.01	-0.02	1.00
0.01	-0.01	1.01
0.02	-0.01	1.01
0.02	-0.01	1.01
0.02	-0.02	1.01
0.02	-0.02	1.01
0.01	-0.01	1.02
0.01	-0.02	1.01
0.01	-0.02	1.00
0.01	-0.02	1.02
0.01	-0.01	1.01
0.02	-0.02	1.01
0.02	-0.02	1.00
0.02	-0.01	1.01
0.01	-0.01	1.02
0.00	-0.02	1.01
0.00	-0.02	1.01
0.01	-0.02	1.00
0.01	-0.02	1.00
0.01	-0.02	1.01
0.02	-0.02	1.01
0.02	-0.02	1.00
0.02	-0.02	1.01
0.02	-0.01	1.01
0.02	-0.01	1.02
0.02	-0.01	1.02
0.02	-0.02	1.01
0.02	-0.02	1.01
0.01	-0.02	1.01
0.01	-0.02	1.01
0.02	-0.02	1.01
0.02	-0.01	1.02
0.02	-0.02	1.01
0.02	-0.01	1.01
0.01	-0.02	1.01
0.01	-0.02	1.02
0.02	-0.02	1.01
0.01	-0.02	1.01
0.02	-0.02	1.01
0.02	-0.02	1.01
0.02	-0.02	1.01
0.02	-0.02	1.01
0.01	-0.02	1.02
0.01	-0.01	1.01
0.02	-0.02	1.01
0.02	-0.02	1.01
0.02	-0.02	1.01
0.02	-0.02	1.01
0.00	-0.02	1.02
0.01	-0.02	1.02
0.01	-0.02	1.01
0.02	-0.02	1.00
0.01	-0.02	1.01
0.02	-0.02	1.02
0.02	-0.02	1.01
0.01	-0.02	1.02
0.02	-0.02	1.02
0.02	-0.02	1.00
0.02	-0.02	1.00
0.02	-0.01	1.02
0.03	-0.01	1.02
0.02	-0.02	1.03
0.01	-0.02	1.00
0.02	-0.02	1.00
0.02	-0.02	1.00
0.02	-0.02	1.00
0.01	-0.02	1.01
0.01	-0.02	1.01
0.01	-0.02	1.01
0.01	-0.01	1.01
0.02	-0.02	1.02
0.02	-0.02	1.03
0.02	-0.02	1.02
0.01	-0.02	1.01
0.01	-0.02	1.01
0.01	-0.02	1.00
0.01	-0.01	1.00
0.01	-0.01	1.02
0.01	-0.01	1.02
0.02	-0.01	1.01
0.02	-0.02	1.01
0.02	-0.02	1.02
0.02	-0.01	1.02
0.01	-0.01	1.02
0.01	-0.02	1.00
0.02	-0.02	1.00
0.01	-0.02	1.00
0.01	-0.01	1.00
0.01	-0.02	1.02
0.01	-0.02	1.00
0.02	-0.02	1.02
0.01	-0.02	1.02
0.01	-0.01	1.01
0.01	-0.02	1.00
0.02	-0.02	1.02
0.02	-0.02	1.02
0.01	-0.01	1.01
0.01	-0.02	1.01
0.01	-0.02	1.02
0.01	-0.02	1.01
0.01	-0.01	1.01
0.02	-0.02	1.00
0.01	-0.02	1.00
0.01	-0.02	1.00
0.02	-0.02	1.01
0.02	-0.01	1.01
0.02	-0.00	1.01
0.02	-0.00	1.02
0.01	-0.01	1.01
0.01	-0.02	1.00
0.01	-0.02	1.00
0.01	-0.01	1.01
0.02	-0.02	1.02
0.02	-0.01	1.02
0.01	-0.02	1.01
0.01	-0.02	0.99
0.01	0.00	1.02
0.01	-0.00	1.02
0.03	-0.01	1.02
0.02	-0.01	1.03
0.02	-0.01	1.02
0.01	-0.00	1.02
0.01	-0.01	1.01
0.00	-0.01	1.02
0.01	-0.02	1.00
0.02	-0.02	1.00
0.02	-0.01	1.01
0.02	-0.02	1.02
0.01	-0.02	1.01
0.00	-0.02	1.00
0.00	-0.02	1.02
0.01	-0.01	1.01
0.02	-0.02	1.01
0.02	-0.01	1.01
0.02	-0.01	1.01
0.02	-0.01	1.02
0.02	-0.00	1.02
0.01	-0.01	1.01
0.02	-0.02	1.01
0.01	-0.01	1.01
0.02	0.00	1.01
0.02	-0.01	1.01
0.02	-0.02	1.01
0.01	-0.02	1.01
0.02	-0.02	1.01
0.02	-0.02	1.01
0.01	-0.02	1.02
0.01	-0.02	1.02
0.00	-0.02	1.01
0.00	-0.02	1.00
0.00	-0.02	1.00
0.01	-0.02	1.00
0.01	-0.01	1.00
0.02	-0.01	1.00
0.03	0.00	1.02
0.03	0.01	1.06
0.03	0.00	1.05
0.02	-0.01	1.03
0.01	-0.02	1.02
0.01	-0.01	0.99
0.01	-0.02	1.00
0.01	-0.02	1.00
0.01	-0.03	1.00
0.01	-0.02	1.00
0.01	-0.01	1.01
0.01	0.00	1.04
0.01	-0.00	1.03
0.02	-0.02	1.01
0.02	-0.02	1.00
0.02	-0.02	1.00
0.02	-0.01	1.04
0.02	-0.01	1.04
0.01	-0.01	1.02
0.01	-0.01	0.99
0.01	-0.02	1.01
0.01	-0.01	1.02
0.02	0.00	1.01
0.02	-0.01	1.02
0.01	-0.01	1.03
0.01	-0.02	1.00
0.02	-0.02	1.00
0.02	0.00	1.02
0.02	0.00	1.03
0.02	-0.00	1.03
0.02	-0.02	1.01
0.02	-0.02	1.01
-0.00	-0.02	1.00
-0.00	-0.01	0.99
0.01	-0.02	1.01
0.02	-0.02	1.02
0.02	-0.00	1.02
0.02	-0.01	1.02
0.02	-0.02	1.01
0.02	0.00	1.02
0.02	0.01	1.01
0.01	-0.02	1.01
0.02	-0.03	1.01
0.01	-0.01	1.02
0.01	-0.02	1.02
0.01	-0.02	1.00
0.01	-0.03	1.00
0.02	-0.03	1.00
0.01	-0.01	1.00
0.02	-0.02	1.01
0.02	-0.01	1.02
0.02	-0.00	1.03
0.02	-0.01	1.02
0.02	-0.01	1.03
0.02	-0.02	1.01
0.01	-0.01	1.00
0.01	-0.02	1.01
0.01	-0.02	1.01
0.01	-0.02	1.02
0.02	-0.01	1.02
0.03	-0.01	1.02
0.03	-0.02	1.03
0.02	-0.02	1.02
0.01	-0.02	1.00
0.00	-0.01	1.00
0.00	-0.02	1.01
0.02	-0.02	1.02
0.02	-0.02	1.00
0.02	-0.01	1.02
0.02	-0.01	1.02
0.02	-0.01	1.02
0.01	-0.01	1.02
0.01	-0.02	1.00
0.01	-0.03	1.00
0.02	-0.02	1.02
0.02	0.00	1.03
0.01	-0.01	1.02
0.02	-0.02	1.01
0.02	-0.02	0.99
0.02	-0.01	1.00
0.01	-0.02	1.02
0.01	-0.02	1.00
0.02	-0.02	1.00
0.01	-0.02	1.01
0.02	-0.02	1.01
0.02	-0.01	1.01
0.02	-0.01	1.04
0.02	-0.02	1.03
0.02	-0.02	1.02
0.02	-0.01	1.01
0.02	-0.01	1.00
0.02	-0.02	1.01
0.01	-0.02	1.02
0.02	-0.02	1.01
0.03	-0.01	1.01
0.02	-0.00	1.02
0.02	-0.01	1.02
0.00	-0.01	1.02
0.01	-0.02	1.02
0.02	-0.03	1.01
0.02	-0.04	1.01
0.01	-0.02	1.01
0.01	-0.02	1.00
0.02	-0.02	1.00
0.02	-0.02	1.01
0.01	-0.01	1.03
0.02	0.00	1.03
